Income,Recency,Customer_Days,Total_Spending,Total_Purchases,Cluster,Segment,Recommendation,Strategy,Channels,Offers,Goal,Customer_Review,Predicted_Sentiment
46463.0,56,4603,235,17,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"I watch for this 48-pack of Oreos to drop below fifteen bucks to justify the convenience for the price.  With these small packs of Oreos my kiddos grab them for their lunches (1 is middle school, 1 is HS)and my husband and I also choose them for a small snack...a little indulgence!  I've ordered them 5 seperate times and they have always been fresh.  Thanks Amazon!",Positive
105471.0,36,4812,1724,30,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"My dog took to it very well.  Given the ingredients, it appears to be an extremely high quality food, far superior to any other brand I've tried. A no grain diet seems to be appropriate for dogs, in my opinion.",Negative
55282.0,9,4486,235,11,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"Love the flavor, but 12 of the cups in the 24 count box were misshapen/melted, as if they'd been exposed to heat during filling.  My husband used two of the ones that were not affected, so I'm not returning them, but certainly wish quality control had caught this.  The affected k cups are so misshapen they will not fit into the space in the Keurig.",Negative
78710.0,42,4325,1092,28,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,My kids love this healthy peanut butter - definately the best healthy peanut butter we have had - my kids like it better than the popular branded peanut butter as well :),Positive
66886.0,28,4574,599,17,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"One of the best things about a fine coffee is the aroma. It is part of the entire coffee drinking experience. It is the aroma that strikes you first with Marley Coffee - One Love. The coffee has a pungent, almost ""muddy"" odor. By ""muddy,"" I mean it actually smells like mud. This was the hardest thing to get past when trying this coffee. Next up is its light color. It almost brews with the color of a strong tea rather than a coffee. I like my coffee dark, so this was yet another hurdle I had to get past. Once I got to the taste, I was more than pleasantly surprised. The flavor was light, yet wonderfully smooth. There was not a lot of body to it, but it did taste great. This is a light roast at best. If that sounds like what you're looking for, go for it. I give it four stars on taste alone. A nice organic blend.",Positive
98777.0,23,4420,2008,19,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"<a href=""http://www.amazon.com/gp/product/B000ESLJ6C"">Pero Instant Natural Beverage, 7-Ounce Canisters (Pack of 6)</a>  My husband and I love this drink.  It is tasty with creamer for a hot drink or without creamer and with ice for a cold beverage.  We sweeten ours with Stevia, and since Pero has no caffeine, and contains Barley, Chicory, and Rye, well, how can we go wrong?  No fat, low carbs, low calories!  Wouldn't be without it.  Unlike coffee, it is not addictive because when we don't have it, we don't get withdrawals.  We just miss it.",Positive
29103.0,38,4959,48,6,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,The Bisquick Complete is great. I work and live overseas and ordering this product made life so simple to deal with after a hard day at the office.  The freshness and tender touch make anyone I serve them to appriciate the great taste.<br />Thank you for making this item one of the best on the market and for making my life a more simple one.,Positive
67445.0,63,4974,1174,32,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,No longer are the days of anonymous mushy pet foods.  Weruva food is a distinctly different experience for my pets from one day to the next.  Prepared in a kitchen the makes people food as well only reassures me that my cats and dog are treated as friends rather than captives.,Positive
50616.0,71,4365,67,7,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"Don't buy this if you like Starbuck's coffee.  I love this because it is mild.  In the past, I bought Green Mountain coffee, but I always added water to dilute its taste.  This is a perfect mild taste.  K-cups are expensive, but these taste good, so it's worth the cost.",Positive
49431.0,9,4983,365,15,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,I was trying to pick out some new coffee for my husband.  He likes bold flavors; so when I saw this coffee had so many positive reviews I decided to give it a try.  He now has a new favorite coffee.  I love the review system.  It makes buying or not buying items so much easier.,Positive
153924.0,81,4430,6,0,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"These are just wonderful! They're crunchy, some chewy, tasty, healthy. Will definitely buy again. I like them much better than the cinnamon ones.",Positive
61278.0,87,4464,165,10,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"this is one of my favorite flavors for the Keurig. If you like Blueberry, this coffee has a a hint of blueberry flavor. Great price and it shipped and arrived very quickly.",Positive
26490.0,92,4933,210,11,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,Stash is the best on the market as far as I am concerned.  I have been a fan of many of their teas but the Earl grey Double Bergamot is my favorite.,Positive
73059.0,36,4590,1095,26,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"My 60 lb dog LOVES these.  She is very picky about food and treats, but eats this readily.  She needs the glucosamine/chondroitin for her knees and even if I hid the pills in cat food, peanut butter, you name it- she wouldn't touch it.  She also has allergies to a lot of common ingredients (chicken, beef, wheat), so really this treat is a lifesaver!",Positive
46734.0,86,4539,223,12,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,These potatoes are pretty good. They can be eaten alone or served with a meal. Really like potatoes and this is an easy choice.,Positive
56253.0,83,4857,597,22,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,Island Coconut is the best K-Cup ever! If you like coconut and you like coffee you will love this coffee. :),Positive
19986.0,74,4515,22,4,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"I don't know what Bahlsen was thinking over the last several months, but I looked high and low for these cookies in supermarkets and specialty stores...none were to be found. Then, after checking with Amazon (and its tracking mechanisms), Voila! I ordered a whole case and that should satisfy our deep appreciation of these cookies... a perfect blend of high quality dark chocolate and a crisp, thin ""chocolate vehicle""--i.e., cookie.",Positive
58330.0,87,4474,1064,24,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"Ok, sounds crazy i know but i heard about this baby food diet and figured whats there to loose. The food tastes good, and im sure your baby will like it too hahaha!",Positive
25965.0,29,4948,74,6,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,I received the product ahead of schedule and it arrived in perfect condition.  I also received a container of mustard that has amazing flavor!  I'm addicted to Tabasco sauce and have been for a long time.  Now I know I won't run out for a long time!,Positive
14661.0,88,4832,26,5,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,IT IS A TYPICAL PURCHASE OF ENSURE. I JUST DIDN'T LIKE THE HIGH SHIPPING COST. IT PAYS TO BUY MORE SO IT CAN OFF-SET THE SHIPPING COSTS -- NOT OFF-SET IT -- BUT TO SOMEWHAT JUSTIFY THE PURCHASE OF YOUR ENSURES SOMEWHAT.,Positive
18690.0,77,4836,60,5,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"Used it for the first time...love it!!!! Locally, red food color is $1.78 an 1 ounce! Crazy! You have a shopper for life, Ozbo!",Positive
45068.0,25,4697,20,4,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"I don't usually use a lot of milk in my cereal because I don't want to waste it (it goes to the cat--I know, bad cat owner!) I haven't drained the milk from a bowl of cereal since I outgrew Cookie Crisp (mmm. Cookie Crisp)...this was so good I drank it all.<br /><br />First the con and the reason for the four instead of five star review: price. 12 oz. for 3.60 (plus shipping on Amazon) or 3.79 in my grocery is out of line. Comparable products offer 17 or 18 oz. for the same or a slightly lower price. So Kraft (and yes, it's a Kraft product) lower the price to get another star.<br /><br />The rest is all pro. The mouth feel is perfect; as the uploader of the customer photo states, not big bad chunks. Nice and crunchy in cold milk. The flavour is fantastic. DARK chocolate...not milk. Yum. Plus just the right amount of little choc pieces. Others criticised the Summer Berry Blend variety for being too sweet (others too tart,) but I found it and this just right on the sweetness scale.<br /><br />4g of fiber, low sodium, 5g of protein...and a couple vitamins all natural. No HFCS, no Sucralose or Aspartame so your liver and brain don't need to fear it either!<br /><br />Notice I didn't mention the calories...220 in a ""serving"" welll, a 1/2 cup serving size is a wee bit unrealistic. I measured it out and it's about five bites. A cup was good for a light breakfast...so 440 calories about the same as a bagel...not for weight watchers--but an excellent treat!",Positive
21063.0,34,4565,59,7,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,Love this coffee.  Strong but not too strong...great flavor. I always keep it on hand.,Positive
29187.0,43,4704,34,5,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"I have two small-ish dogs (both should weigh about 12-15 pounds each), who are 9 and 11 years old. Feeding them never used to be an issue; we used a nice quality dry food, and they ate out of one bowl together. A few years ago, though, one of them became dangerously ill, and is now diabetic with heavy cataracts in both eyes, so being sure she gets enough to eat at the right times has become much more important. I mix a quarter of a can with a half cup of our dry dog food for each dog twice a day. This gives both of them the right calories (the other dog is more plump because when food falls, she is the only one who can see it!), and the wet food ensures that my diabetic pup eats everything in her bowl. Amazon's price is better than what I pay locally, and it arrives sooner than what the delivery-by date is.",Positive
54690.0,76,4522,198,12,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"These Deep Chocolate Vitamuffins are unbelievably delicious.  Highly recommend the mix for savings, very easy to prepare, but as others that have reviewed this product, I recommend adjusting temp and time depending on your oven.  I preheat at 400 degrees then reduce to 360 degrees for 18-20 minutes, testing for doneness with a wooden toothpick inserted in the center.",Positive
59304.0,81,4623,1048,28,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"I wasn't sure what to expect with the Wolfgang Puck coffees, but I am pleased.<br /><br />The Sorrento is a good medium roast.  It is a bit darker of a roast than some of the other mediums out in Keurig-land, but it isn't bitter.  There's just a little of something chocolatey in the flavor.<br /><br />My only complaint is that this coffee, like most of the Keurig cups that don't say ""extra bold"" on them, they brew up pretty weak if you do a larger mug.  I typically brew the 9.25 oz size, and on these guys I bumped it down to the 7.25 oz size.  If I brew it in the larger cups, it just comes out too weak.<br /><br />If you are one who feels that K-cups usually make weak coffee, you will think that these are really weak, and be tempted to brew 'em two at a time.  This coffee is not plain or unflavorvful -- there's just less coffee in the K-cup (or rather the normal, not extra-bold amount), so it brews up weaker.",Positive
59247.0,87,4521,574,21,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"These are sooo yummy and are made with just a few ingredients, and nothing complicated. I am allergic to dairy, egg and soy, and these are my go to snack to have around for those ""on the go"" moments. I always find that the cherry one is more expensive and gone at the store. Seems to be favorite!",Positive
66731.0,33,4943,1029,17,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,This is the only dog treat that my terrier will eat. We crumble over his dry food and he LOVES it.,Positive
77353.0,38,4483,670,20,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"These are very tasty sauces, and I am a heavy user for the great flavors. Perhaps I got used to the heat because to me they were not more than ""medium"" if regular Tabasco is ""hot"". I will buy them again for the flavor however.",Positive
52614.0,63,4863,990,16,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"These seasonings are awesome on popcorn, soup, salad, or whatever, and great on pasta! I'm stocking up so we don' run out. They really taste great! Love them!",Positive
26751.0,26,4326,11,4,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,"I cannot say enough good things about this product.  I do enhance it a little by adding about one half cup of wild blueberrys to each box (mix).  My wife and I give boxes of it to our family and friends.<a href=""http://www.amazon.com/gp/product/B000EMQG0W"">Betty Crocker Muffin Mix, Wild Blueberry, 18.25-Ounce Boxes (Pack of 12)</a>",Positive
81300.0,17,4895,1241,21,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"I had to lose weight for medical reasons and incorporated Kashi products into most of my meals and snacks. The GOLEAN bars are great! I wish Amazon would sell a wider variety! High in fiber, and low in calories! Not good for diabetics, but good for a meal replacement.",Positive
70337.0,75,4466,576,17,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"Very good product.  So glad to get garlic grown in U.S.A.  Even in Gilroy, California, which I thought was the garlic-growing capital of the world, they now sell (fresh) garlic grown in China.  Hard to believe, but true.  Whatever garlic powder you're buying off the supermarket shelf is also probably grown in China.",Positive
36145.0,13,4666,172,12,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"Healthy Choice has a winner in this new idea of a fast food meal. I tried the Healthy Choice Fresh Mixers in the Ziti and meat sauce flavor. This is really a neat product. It can be stored in the pantry, no refrigeration needed. When ready to eat at home or office, you just open the package, which contains the ziti in a microwavable bowl with strainer,  sauce in separate package. Could not be easier to prepare. Just add water to fill line over Ziti, cook 3 and 1/2 minutes in mcrowave, strain and add meat sauce. The directions say to heat 30 seconds after adding sauce but I did not need to do this because the room temperature sauce on hot ziti made it just the temperature I like for eating.The sauce is meaty and flavorful and the ziti just the texture I like.I think this product will be a winner in the Healthy Choice food line.I use a lot of Healthy Choice products but this is my favorite so far.",Positive
65295.0,19,4476,664,20,0.0,High Value Customers,"{'Strategy': 'Loyalty Rewards & Premium Offers', 'Channels': ['Email', 'Personal Calls'], 'Offers': ['Exclusive Discounts', 'Early Access'], 'Goal': 'Increase retention and lifetime value'}",Loyalty Rewards & Premium Offers,"Email, Personal Calls","Exclusive Discounts, Early Access",Increase retention and lifetime value,I picked up this product after a friend recommended it.<br />Oh boy it's so good. My wife & I use it every morning with our Coffee instead of sugar.<br />we have also begun to use it when baking or with any recipe that asks for sugar.<br />It also goes a long way so it has totally been worth it's purchase price..,Positive
68118.0,51,4542,928,23,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,If you like strawberries you'll love Crunchies!  Only 98 calories per pouch - I snacked on one pouch all day and didn't finish it off!  Very convenient- resealable.  I have other varieties on order!,Positive
68743.0,81,4956,2074,30,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,the KIND PLUS almond/walnut/macadamia + protein bar is the best snack bar i have ever tried...all those nuts mixed together....WOW!!!  kinda hard to get in the package though...guess that's what keeps the bar fresh...,Positive
41039.0,32,4627,467,15,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"I'm a cat lover, and spoil them very often. Recently we tried several local stores for catnip and none were very fragrant or very loved by my cats. The older Cosmic Catnip size was no longer for sale, and had lasted a while. After about a year of trying to get decent catnip locally, I came back to Amazon. Read the reviews, and came back to Cosmic catnip (now in a slightly larger size container).<br /><br />This stuff is great, my cats respond to it well, and they love it. The biggest problem is they have really been using the cat scratcher we put the catnip on much more than usual and have had to order a refill kit.<br /><br />If you want very good catnip at a very reasonable price, this may be a good choice.",Positive
38946.0,84,4536,257,12,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"....but I was WRONG. Wow! I am normally just a plain old soap kind of guy. I don't really care much for anything too smelly, and the body washes I have tried (received as a gift or used in a resort) have left me feeling that I would never want to try a body wash. Either I got hives (yes, that happened with H20 brand), or it just left a film. Well, Dove Men + Care is a different story. It smells good, not just nice, but really good....and my wife likes it, too, she said, ""It has a manly smell."" I'm not sure what that means, but it was said in a positive way, so that's good with me. It also rinses off easily, and my skin did actually feel softer without feeling filmy. As for the ""smell,"" it's a crisp aroma, not musky and not woodsy. If you can imagine what ""clean"" ice would smell like (if there were such a thing), that is as close as I can get. It is not an overpowering aroma at all. Lastly, the container is perfect. It stands upside down very nicely and allows gravity to keep it at the dispensing end, which is great. As for value, well, I believe there is some value here. Each of these are fairly large, and should last for a while, so for the price, you are getting quite a lot. All-in-all, this is a winner!",Positive
65777.0,87,4480,1146,17,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"The price from 911drugstore is crazy!  If you buy the spinach, mango and pear one, which amazon itself sells, it is half the price (see link) of 911drugstore and about twice what you'd pay retail.  Don't buy from this company. They are price gouging.<br /><br />That said, all of this band of baby food that I've tried are great.  I don't even use a spoon, my son likes to just suck it right out of the tube and has been since he was 7months old.  Great for road trips or just being on the go<a href=""http://www.amazon.com/gp/product/B0030VJ8PE"">HAPPYBABY Organic Baby Food, Stage 2, Spinach, Mango & Pear, 3.5 Ounce Pouch (Pack of 16)</a>",Negative
66476.0,99,4767,689,20,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,"With hundreds (if not thousands) of coffee brands and/or types, it's tough to choose one, especially online without tasting.  I took a shot at Community Coffee's whole-bean French Roast.  I bought a Hamilton Beach coffee bean grinder, so I refuse to buy pre-ground coffee.  Psychologically, doing so would negate the value that the coffee-bean grinder would provide to me.<br /><br />With that aside, 2 of the 3 bags of coffee that came in the package were shrink-wrapped, meaning that you could see the shapes of the coffee beans through the package since it was vacuum sealed.  The other package was loose, like you'd see at your typical grocery store. I'm pretty sure it didn't effect the quality of the brew, but it's just something that I noticed.<br /><br />Moving on to the bottom line here: the coffee tastes good, but might be too strong for some.  I'm used to good 'ole McDonald's coffee, which to me, is decent.  I like Peet's and various Sumatra blends from Coffee Bean and Starbucks, but herein lies the issue with choosing coffee: how do you know how strong a particular coffee is going to be?  A solid solution would be to rate the coffee on a scale of 1-10, 1 being weak and 10 being super-strong.  In using this guideline, I'd rate this coffee a 10 in terms of strength.  It's great early in the morning when you need a quick jolt of caffeine, but not-so-good in the afternoon or evening.<br /><br />Anyhow, this was worth a shot...I plan on ordering more Community Coffee, just a weaker blend.",Positive
86857.0,96,4943,2114,22,2.0,At Risk Customers,"{'Strategy': 'Re-engagement Campaign', 'Channels': ['Email', 'Push Notifications'], 'Offers': ['Win-back Discounts'], 'Goal': 'Prevent churn'}",Re-engagement Campaign,"Email, Push Notifications",Win-back Discounts,Prevent churn,this stuff tastes just like i'm at a resaurant!!!  and it came in 2 seperate 5 pound bags so that i didn't have to keep it all open at once!! i love the sweet taste and sooo fluffy,Positive
160803.0,21,4982,1717,44,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"First time trying this product, and found it to be quite good.Will order again.<br />Was pleased with the fruity flavor.",Positive
77845.0,40,4332,1346,21,3.0,Budget Buyers,"{'Strategy': 'Price-Based Promotions', 'Channels': ['SMS', 'Ads'], 'Offers': ['Coupons', 'Seasonal Discounts'], 'Goal': 'Increase purchase frequency'}",Price-Based Promotions,"SMS, Ads","Coupons, Seasonal Discounts",Increase purchase frequency,"I bought this because the amazon page says that it is ""cholesterol free."" It isn't...it actually has more than most (I think around 40% of your daily intake in one serving). Plus it tasts REALLY bad (I've been mixing it with Muscle Milk to cover the taste because I'm too cheap to just throw it away), it's extremely grainy (kinda coats your throat going down making it super gaggy) and sometimes all the protein in it dumps out and coagulates into a nasty ball inside the shake ball in my shaker-cup if I don't drink it fast enough...I've eaten some pretty horrible stuff (mostly on dares) and I can't handle a Universal only protein shake...too nasty. I'm sticking souly to Muscle Milk and Optimum Nutrition brand protein powders...lower cholesterol (Muscle Milk is only 5% per serving) and MUCH better taste.",Negative
69476.0,3,4560,1044,15,1.0,New Customers,"{'Strategy': 'Welcome Campaign', 'Channels': ['Email', 'SMS'], 'Offers': ['First Purchase Discount'], 'Goal': 'Convert into repeat customers'}",Welcome Campaign,"Email, SMS",First Purchase Discount,Convert into repeat customers,"My geriatric dog has been an extremely fussy eater ever since I brought her home at 14 weeks.  I recently tried Wellness kibble and wet foods and she likes them all, but she particularly LOVES the 95-Percent canned toppers and WOLFS her kibble down with this product mixed in.  Wish I had tried Wellness foods before but better late than never.",Positive
